"Story","Title","Result","Date","Stability","Duration (s)"
"Train simple neural net IT","Where one beneficial change should reduce the error","SUCCESS","2021-12-16T23:13:47.311068+01:00[Europe/Berlin]","0.0","0.04"
"Train simple neural net IT","Where conflicting facts find beneficial change","SUCCESS","2021-12-16T23:13:47.355352+01:00[Europe/Berlin]","0.0","0.02"
"Train simple neural net IT","Where we keep track of the number of training rounds","SUCCESS","2021-12-16T23:13:47.371986+01:00[Europe/Berlin]","0.0","0.05"
"Train simple neural net IT","Where small neural net is trained on single fact","SUCCESS","2021-12-16T23:13:47.427743+01:00[Europe/Berlin]","0.0","0.02"
"Train simple neural net IT","Where conflicting facts limit the decrease in error","SUCCESS","2021-12-16T23:13:47.493612+01:00[Europe/Berlin]","0.0","0.03"
