"Story","Title","Result","Date","Stability","Duration (s)"
"Registration and login IT","Register some user","IGNORED","2021-12-07T22:43:07.627268+01:00[Europe/Berlin]","0.0","0.01"
"Game creation IT","When an authenticated game master creates a game","IGNORED","2021-12-07T22:43:07.652951+01:00[Europe/Berlin]","0.0","0.0"
"Game joing IT","When players join created game","IGNORED","2021-12-07T22:43:07.674429+01:00[Europe/Berlin]","0.0","0.0"
