"Story","Title","Result","Date","Stability","Duration (s)"
"Neural net IT","The actor sees the most likely label on top","ERROR","2021-12-04T01:02:58.844475+01:00[Europe/Berlin]","0.0","1.4"
"Neural net IT","Actor trains neural net","ERROR","2021-12-04T01:03:00.243959+01:00[Europe/Berlin]","0.0","1.23"
"Neural net IT","Actor can ask neural net","ERROR","2021-12-04T01:03:01.47951+01:00[Europe/Berlin]","0.0","1.13"
"Building custom neural net IT","Where two input and one output neurons are wired","FAILURE","2021-12-04T01:03:03.159576+01:00[Europe/Berlin]","0.0","0.04"
"Game creation IT","When an authenticated game master creates a game","FAILURE","2021-12-04T01:03:07.188468+01:00[Europe/Berlin]","0.0","0.13"
"Game joing IT","When players join created game","FAILURE","2021-12-04T01:03:07.357003+01:00[Europe/Berlin]","0.0","0.06"
