"Story","Title","Result","Date","Stability","Duration (s)"
"Building custom neural net IT","Where one input and one output is wired","SUCCESS","2021-12-16T23:13:49.602309+01:00[Europe/Berlin]","0.0","0.02"
"Building custom neural net IT","Where two input and two output neurons are wired","SUCCESS","2021-12-16T23:13:49.620802+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where there are hidden layers wired","SUCCESS","2021-12-16T23:13:49.633734+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where the default is inspected","SUCCESS","2021-12-16T23:13:49.647606+01:00[Europe/Berlin]","0.0","0.02"
"Building custom neural net IT","Where it has one input and one output neuron","SUCCESS","2021-12-16T23:13:49.664854+01:00[Europe/Berlin]","0.0","0.01"
