"Story","Title","Result","Date","Stability","Duration (s)"
"Json place holder IT","When posting","SUCCESS","2021-12-04T00:47:44.273146+01:00[Europe/Berlin]","0.0","2.96"
"Report navigator IT","When tracing errors","ERROR","2021-12-04T00:47:41.023641+01:00[Europe/Berlin]","0.0","1.68"
