"Story","Title","Result","Date","Stability","Duration (s)"
"Neural net IT","The actor sees the most likely label on top","SUCCESS","2021-12-04T00:20:04.715895+01:00[Europe/Berlin]","0.0","1.27"
"Neural net IT","Actor trains neural net","SUCCESS","2021-12-04T00:20:06.05782+01:00[Europe/Berlin]","0.0","2.16"
"Neural net IT","Actor can ask neural net","SUCCESS","2021-12-04T00:20:08.281571+01:00[Europe/Berlin]","0.0","1.01"
"Color detecting neural net IT","When training on specific output the confidence gets very high","SUCCESS","2021-12-04T00:20:09.413352+01:00[Europe/Berlin]","0.0","0.12"
"Color detecting neural net IT","Actor trains neural net","SUCCESS","2021-12-04T00:20:09.53942+01:00[Europe/Berlin]","0.0","0.01"
"Color detecting neural net IT","Actor can ask neural net","SUCCESS","2021-12-04T00:20:09.554611+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where one input and one output is wired","SUCCESS","2021-12-04T00:20:09.681805+01:00[Europe/Berlin]","0.0","0.02"
"Building custom neural net IT","Where the default is inspected","SUCCESS","2021-12-04T00:20:09.783125+01:00[Europe/Berlin]","0.0","0.01"
"Building custom neural net IT","Where it has one input and one output neuron","SUCCESS","2021-12-04T00:20:09.798464+01:00[Europe/Berlin]","0.0","0.01"
